begin,open,close,high,low,value,volume
2025-02-06 06:00:00,283.89,283.89,283.89,283.89,20726808.9,73010
2025-02-06 07:00:00,283.89,282.94,283.89,282.71,178434042.89999995,630110
2025-02-06 08:00:00,282.98,282.84,282.99,282.15,222322942.9,787000
2025-02-06 09:00:00,282.81,282.47,282.85,282.29,250311092.6000001,885810
2025-02-06 10:00:00,282.47,287.92,288.92,282.09,7963262603.399996,27800240
2025-02-06 11:00:00,287.92,286.8,288.0,286.48,2470388212.2000003,8596870
2025-02-06 12:00:00,286.79,286.43,287.77,286.3,1207702178.5,4206950
2025-02-06 13:00:00,286.43,286.17,286.67,285.88,963673787.1999997,3367230
2025-02-06 14:00:00,286.15,286.13,287.48,285.62,1140865120.1,3982710
2025-02-06 15:00:00,286.11,286.85,287.4,285.91,766630228.0999997,2672600
2025-02-06 16:00:00,286.85,286.63,287.0,286.05,561676142.5999999,1960710
2025-02-06 17:00:00,286.63,287.67,288.2,286.48,2020062281.1999998,7025290
2025-02-06 18:00:00,287.67,287.15,288.2,286.6,1208951443.8,4205960
2025-02-06 19:00:00,287.15,287.04,287.42,286.85,266036639.79999998,926390
2025-02-06 20:00:00,287.05,287.4,287.45,287.04,163317108.1,568550
2025-02-06 21:00:00,287.38,287.8,287.98,287.26,195294922.60000002,679010
2025-02-06 22:00:00,287.78,287.27,287.8,287.21,146103880.89999998,507990
2025-02-06 23:00:00,287.31,287.15,287.54,287.09,139824689.39999998,486720
2025-02-07 06:00:00,287.66,287.66,287.66,287.66,4591053.599999998,15960
2025-02-07 07:00:00,287.66,287.98,287.99,287.15,113766719.5,395540
2025-02-07 08:00:00,287.97,288.49,288.6,287.85,318268673.5,1103660
2025-02-07 09:00:00,288.48,288.35,288.9,287.72,591183342.4000001,2050240
2025-02-07 10:00:00,288.41,287.5,288.8,286.86,1292588677.7,4494950
2025-02-07 11:00:00,287.5,286.38,287.9,286.11,947752026.3999997,3302110
2025-02-07 12:00:00,286.38,286.5,287.0,285.72,818942051.8000003,2859600
2025-02-07 13:00:00,286.49,287.31,287.49,286.32,450659970.5000001,1569110
2025-02-07 14:00:00,287.31,286.59,287.42,286.14,394596576.3999999,1376460
2025-02-07 15:00:00,286.7,286.15,286.98,286.1,280463698.4,978910
2025-02-07 16:00:00,286.15,286.37,286.6,285.8,804347144.1,2809260
2025-02-07 17:00:00,286.42,285.83,286.5,285.82,417862892.49999994,1460380
2025-02-07 18:00:00,285.83,286.3,286.3,285.08,661811220.3,2317290
2025-02-07 19:00:00,286.02,285.91,286.24,285.87,161334648.19999996,563970
2025-02-07 20:00:00,285.91,286.59,286.6,285.9,259614108.09999996,906440
2025-02-07 21:00:00,286.58,286.44,286.6,286.27,91577156.90000004,319600
2025-02-07 22:00:00,286.44,286.19,286.45,286.14,103631356.3,362010
2025-02-07 23:00:00,286.2,285.81,286.39,285.8,211877736.70000005,740580
2025-02-10 06:00:00,287.61,287.61,287.61,287.61,43006323.3,149530
2025-02-10 07:00:00,287.64,288.64,288.7,287.61,647773928.1000001,2247160
2025-02-10 08:00:00,288.65,288.83,289.48,288.38,722429014.9999999,2500360
2025-02-10 09:00:00,288.82,289.29,289.4,288.34,770204250.3,2665750
2025-02-10 10:00:00,289.25,290.45,290.84,289.0,3127471831.7000003,10785270
2025-02-10 11:00:00,290.49,289.45,290.53,289.14,1482186009.3999996,5115020
2025-02-10 12:00:00,289.45,289.85,289.89,289.35,361680102.8,1248570
2025-02-10 13:00:00,289.86,290.31,290.33,289.68,626616970.1999999,2160450
2025-02-10 14:00:00,290.3,291.1,291.19,290.0,1769546911.700001,6089980
2025-02-10 15:00:00,291.1,291.63,291.84,290.51,1407598332.3999999,4831980
2025-02-10 16:00:00,291.64,292.81,293.37,291.6,2146174601.8,7339730
2025-02-10 17:00:00,292.81,293.68,293.73,292.16,1406405408.8,4797210
2025-02-10 18:00:00,293.69,293.5,294.55,293.4,1737238475.8,5909480
2025-02-10 19:00:00,293.54,293.6,294.2,293.45,508609490.2999998,1731460
2025-02-10 20:00:00,293.61,293.58,293.84,293.4,292021165.9,994870
2025-02-10 21:00:00,293.58,293.89,294.0,293.56,271073977.8,922540
2025-02-10 22:00:00,293.9,290.6,293.97,290.1,2132844096.4999995,7310730
2025-02-10 23:00:00,290.63,289.94,291.18,289.67,1814307688.6000009,6252500
2025-02-11 06:00:00,290.35,290.35,290.35,290.35,5249528.0,18080
2025-02-11 07:00:00,290.42,291.84,292.5,290.26,823863319.3000005,2824800
2025-02-11 08:00:00,291.84,291.6,292.88,291.42,600423324.6999999,2055870
2025-02-11 09:00:00,291.59,292.38,292.44,290.37,1759265204.1000004,6032400
2025-02-11 10:00:00,292.33,291.28,292.45,290.0,2841408549.500001,9763970
2025-02-11 11:00:00,291.3,290.52,291.8,289.3,1895277689.500001,6522750
2025-02-11 12:00:00,290.52,291.26,291.72,290.1,942296953.7999998,3237680
2025-02-11 13:00:00,291.26,292.61,292.78,291.13,1288247576.1000001,4408860
2025-02-11 14:00:00,292.6,292.59,293.73,292.3,1285582764.1,4387250
2025-02-11 15:00:00,292.6,292.42,292.98,291.9,596535886.4000001,2040770
2025-02-11 16:00:00,292.43,293.0,293.52,292.4,778390284.3999999,2657130
2025-02-11 17:00:00,293.01,293.8,293.93,293.01,1144590078.1,3898280
2025-02-11 18:00:00,293.82,293.5,293.9,292.71,793442594.3999999,2705240
2025-02-11 19:00:00,293.5,293.35,293.78,293.0,323701724.6,1103250
2025-02-11 20:00:00,293.31,292.85,293.4,292.51,286656394.0999999,978880
2025-02-11 21:00:00,292.85,293.77,293.88,292.73,287005095.29999995,978580
2025-02-11 22:00:00,293.77,293.87,293.92,293.19,288842837.5,983860
2025-02-11 23:00:00,293.87,294.06,294.1,293.57,415034505.09999996,1412180
2025-02-12 06:00:00,294.3,294.3,294.3,294.3,4043682.0,13740
2025-02-12 07:00:00,294.3,295.79,295.8,294.17,705693478.9999999,2390600
2025-02-12 08:00:00,295.69,296.25,296.29,295.5,665950191.1999998,2249110
2025-02-12 09:00:00,296.25,296.17,296.5,295.55,812285340.6000001,2743250
2025-02-12 10:00:00,296.16,296.99,297.26,295.7,1944480650.9000003,6559120
2025-02-12 11:00:00,296.98,298.19,298.35,296.8,1833359254.1999998,6158510
2025-02-12 12:00:00,298.19,297.78,298.75,297.66,1396753918.3,4683080
2025-02-12 13:00:00,297.77,298.75,298.87,297.72,1175928415.4999998,3940930
2025-02-12 14:00:00,298.76,297.96,299.57,297.89,2350208042.3000007,7866370
2025-02-12 15:00:00,297.96,296.76,298.0,296.7,1702957608.3999999,5730070
2025-02-12 16:00:00,296.75,297.74,298.3,296.31,1297638501.3999991,4365990
2025-02-12 17:00:00,297.72,294.2,298.19,294.14,2434299159.6,8227760
2025-02-12 18:00:00,294.2,294.0,295.18,293.02,2213338458.6000004,7522790
2025-02-12 19:00:00,293.0,298.81,298.81,291.3,4338539206.0,14673930
2025-02-12 20:00:00,298.81,305.81,308.95,298.8,15654227009.400002,51477200
2025-02-12 21:00:00,305.81,308.65,312.0,305.44,9551348376.09999,30937420
2025-02-12 22:00:00,308.66,311.93,311.98,308.65,3911670037.099998,12602020
2025-02-12 23:00:00,311.93,314.0,314.4,311.91,4284428254.7,13674790
2025-02-13 06:00:00,315.61,315.61,315.61,315.61,111669130.19999945,353820
2025-02-13 07:00:00,315.61,318.72,318.72,314.5,2151203049.9000006,6760990
2025-02-13 08:00:00,318.72,316.4,318.72,315.0,1699151822.5999985,5352260
2025-02-13 09:00:00,316.38,317.6,318.72,310.22,6582595447.200003,20900980
2025-02-13 10:00:00,317.6,311.14,318.0,307.2,8734488798.0,28022870
2025-02-13 11:00:00,311.18,314.1,314.8,309.52,4805755056.599999,15365340
2025-02-13 12:00:00,314.19,311.95,314.33,311.2,2410703513.9000006,7701190
2025-02-13 13:00:00,311.91,310.31,314.5,309.77,2915783629.800002,9341400
2025-02-13 14:00:00,310.38,310.62,312.94,309.22,1655676664.5,5322450
2025-02-13 15:00:00,310.61,312.16,312.2,310.2,1061303604.2000002,3409540
2025-02-13 16:00:00,312.2,311.0,313.15,310.77,1125788311.3,3607690
2025-02-13 17:00:00,311.0,311.88,312.28,310.89,550831954.2,1767610
2025-02-13 18:00:00,311.88,310.75,312.74,308.9,2151419650.8999996,6932610
2025-02-13 19:00:00,310.36,310.87,311.49,310.15,467287328.40000004,1504130
2025-02-13 20:00:00,310.87,310.1,310.89,310.01,180984961.09999996,582930
2025-02-14 07:00:00,315.59,312.88,315.6,306.85,1381175326.9000006,4421120
2025-02-14 08:00:00,312.9,313.84,313.97,312.87,722940806.5999998,2305200
2025-02-14 09:00:00,313.92,315.81,317.04,313.91,2727727717.1999993,8640280
2025-02-14 10:00:00,315.8,317.53,317.69,314.14,3498026165.700001,11076540
2025-02-14 11:00:00,317.53,315.58,317.84,315.07,3129080970.599999,9877620
2025-02-14 12:00:00,315.55,317.0,317.3,315.5,1958758847.2999997,6189120
2025-02-14 13:00:00,317.0,311.31,317.49,310.2,7161513986.4,22814990
2025-02-14 14:00:00,311.3,311.84,313.47,309.15,3622385622.7,11631650
2025-02-14 15:00:00,311.89,310.82,313.98,310.5,1864787002.7,5969910
2025-02-14 16:00:00,310.77,305.5,310.77,303.06,6149563970.899991,20073220
2025-02-14 17:00:00,305.5,307.26,309.28,304.9,2865231812.900001,9320690
2025-02-14 18:00:00,307.26,309.57,310.0,306.09,1463973543.6000001,4744140
2025-02-14 19:00:00,309.57,310.2,311.4,309.1,1205060102.3999999,3881950
2025-02-14 20:00:00,310.19,307.88,310.19,307.64,603208382.3000002,1951610
2025-02-14 21:00:00,307.88,308.65,309.58,307.86,381167408.4,1234360
2025-02-14 22:00:00,308.64,308.53,309.08,308.0,279540992.7000001,905850
2025-02-14 23:00:00,308.6,309.87,309.9,308.37,511174090.3,1652680
2025-02-17 06:00:00,314.0,314.0,314.0,314.0,68775420.0,219030
2025-02-17 07:00:00,314.0,314.43,316.0,312.52,1532048267.5,4869990
2025-02-17 08:00:00,314.27,314.92,315.5,314.07,889435568.1,2826500
2025-02-17 09:00:00,314.92,315.01,315.2,314.12,1284668214.000001,4081690
2025-02-17 10:00:00,315.03,314.46,315.85,313.19,2209830528.1000013,7026030
2025-02-17 11:00:00,314.48,313.05,314.58,312.31,1781973419.2999997,5683780
