TRADEDATE,BOARDID,CLOSE,VOLUME,VALUE
2015-10-19,TQBR,65.8,15914100,1049452921.0
2015-10-20,TQBR,65.23,12257000,807175528.0
2015-10-21,TQBR,63.86,15562800,996071807.0
2015-10-22,TQBR,64.19,7561300,483157746.0
2015-10-23,TQBR,66.75,18230800,1208571301.0
2015-10-26,TQBR,67.26,12842800,864367522.0
2015-10-27,TQBR,65.2,9595900,630626525.0
2015-10-28,TQBR,67.05,14058500,926354666.0
2015-10-29,TQBR,67.06,18394100,1239367093.0
2015-10-30,TQBR,68.49,10868900,736843417.0
2015-11-02,TQBR,69.45,14796400,1022990137.0
2015-11-03,TQBR,69.95,16806500,1176767356.0
2015-11-05,TQBR,70.35,19713700,1379747291.0
2015-11-06,TQBR,68.5,10376300,718706071.0
2015-11-09,TQBR,67.95,11696200,796429823.0
2015-11-10,TQBR,68.06,10889500,734722414.0
2015-11-11,TQBR,67.5,9721200,660433838.0
2015-11-12,TQBR,68.3,5957600,403056847.0
2015-11-13,TQBR,69.37,15028700,1038547403.0
2015-11-16,TQBR,71.3,11397500,805253160.0
2015-11-17,TQBR,75.0,21554100,1589086725.0
2015-11-18,TQBR,76.1,16453400,1247035834.0
2015-11-19,TQBR,76.5,19263600,1489516710.0
2015-11-20,TQBR,77.24,13025400,995898268.0
2015-11-23,TQBR,79.6,12475600,980612336.0
2015-11-24,TQBR,76.35,16491200,1284845442.0
2015-11-25,TQBR,78.45,7826600,608449194.0
2015-11-26,TQBR,77.89,9946700,773630954.0
2015-11-27,TQBR,77.8,8559000,660634224.0
2015-11-30,TQBR,76.2,12383500,962000724.0
2015-12-01,TQBR,74.5,11913200,895449952.0
2015-12-02,TQBR,74.5,7893300,590205127.0
2015-12-03,TQBR,75.0,13531700,1009518355.0
2015-12-04,TQBR,72.81,12175500,898673750.0
2015-12-07,TQBR,73.99,9221200,679480291.0
2015-12-08,TQBR,71.0,13962200,1007712821.0
2015-12-09,TQBR,72.85,10297500,741424650.0
2015-12-10,TQBR,72.61,5771800,421275669.0
2015-12-11,TQBR,71.21,6169200,442198382.0
2015-12-14,TQBR,69.1,26137900,1798938019.0
2015-12-15,TQBR,71.4,15173600,1067238060.0
2015-12-16,TQBR,72.5,11887700,860923865.0
2015-12-17,TQBR,73.7,14600500,1081530284.0
2015-12-18,TQBR,68.24,24963400,1753962450.0
2015-12-21,TQBR,70.7,26573800,1868276609.0
2015-12-22,TQBR,72.45,9762800,702149407.0
2015-12-23,TQBR,75.67,21169400,1580238569.0
2015-12-24,TQBR,75.88,21041900,1584398985.0
2015-12-25,TQBR,75.26,5465600,411897514.0
2015-12-28,TQBR,75.25,5992800,449048600.0
2015-12-29,TQBR,76.85,10532100,800820048.0
2015-12-30,TQBR,76.5,5575200,425535408.0
2016-01-04,TQBR,73.88,7121500,528353373.0
2016-01-05,TQBR,74.23,6040300,446130432.0
2016-01-06,TQBR,72.62,10795500,795207092.0
2016-01-11,TQBR,69.11,17043900,1192060706.0
2016-01-12,TQBR,69.32,14733400,1009807131.0
2016-01-13,TQBR,70.6,11630900,820426069.0
2016-01-14,TQBR,70.57,12098400,846796648.0
2016-01-15,TQBR,66.8,17802400,1211051237.0
2016-01-18,TQBR,66.33,12666500,843068796.0
2016-01-19,TQBR,66.1,14127100,950468689.0
2016-01-20,TQBR,63.55,17896900,1148114505.0
2016-01-21,TQBR,65.39,18033600,1167637844.0
2016-01-22,TQBR,68.75,18495900,1258067716.0
2016-01-25,TQBR,66.75,18092800,1226187222.0
2016-01-26,TQBR,67.21,15292400,1020103957.0
2016-01-27,TQBR,68.8,15683100,1073146861.0
2016-01-28,TQBR,68.89,29012000,2000865485.0
2016-01-29,TQBR,68.5,16849500,1167059334.0
2016-02-01,TQBR,69.5,14218400,979129166.0
2016-02-02,TQBR,67.96,17140800,1174901735.0
2016-02-03,TQBR,68.25,11741800,804634869.0
2016-02-04,TQBR,70.79,21634500,1523240797.0
2016-02-05,TQBR,70.89,10737600,759008726.0
2016-02-08,TQBR,69.06,14418200,1010851107.0
2016-02-09,TQBR,68.65,8860300,610236976.0
2016-02-10,TQBR,70.11,8780400,607134965.0
2016-02-11,TQBR,68.28,10511300,719021152.0
2016-02-12,TQBR,69.3,8457600,584698717.0
2016-02-15,TQBR,69.32,7181100,502620216.0
2016-02-16,TQBR,69.62,7747600,540876543.0
2016-02-17,TQBR,71.29,9992800,706024151.0
2016-02-18,TQBR,73.25,15055600,1092422312.0
2016-02-19,TQBR,71.93,10120000,733925109.0
2016-02-20,TQBR,72.63,1506300,109071961.0
2016-02-22,TQBR,73.6,4279200,313512694.0
2016-02-24,TQBR,72.34,6212500,449582296.0
2016-02-25,TQBR,73.76,9528900,698933343.0
2016-02-26,TQBR,75.21,10765400,808644308.0
2016-02-29,TQBR,76.9,7272200,549611585.0
2016-03-01,TQBR,77.31,8745800,676347891.0
2016-03-02,TQBR,75.2,7729200,591901447.0
2016-03-03,TQBR,75.8,6697900,508199520.0
2016-03-04,TQBR,76.82,6207000,474048554.0
2016-03-07,TQBR,77.82,4651000,360826756.0
2016-03-09,TQBR,76.51,8666000,663936803.0
2016-03-10,TQBR,75.56,11005400,841230840.0
2016-03-11,TQBR,77.03,15209600,1168959350.0
2016-03-14,TQBR,76.8,7800800,596229893.0
2016-03-15,TQBR,75.62,12426000,952634202.0
2016-03-16,TQBR,77.0,11037800,844688588.0
2016-03-17,TQBR,78.45,17189500,1346064438.0
2016-03-18,TQBR,79.7,12663800,1006681809.0
2016-03-21,TQBR,79.81,10571200,835901093.0
2016-03-22,TQBR,80.03,11547100,920773016.0
2016-03-23,TQBR,78.93,10478200,833322466.0
2016-03-24,TQBR,78.75,8676500,679354353.0
2016-03-25,TQBR,79.65,3639600,288835244.0
2016-03-28,TQBR,78.65,5136400,405936163.0
2016-03-29,TQBR,77.6,7475900,579535998.0
2016-03-30,TQBR,79.09,5284900,417089496.0
2016-03-31,TQBR,79.09,9516600,746496030.0
2016-04-01,TQBR,77.29,11544300,893981472.0
2016-04-04,TQBR,76.26,17399500,1332725429.0
2016-04-05,TQBR,75.13,10229100,766344082.0
2016-04-06,TQBR,76.1,9452400,715516019.0
2016-04-07,TQBR,76.8,10246200,786005760.0
2016-04-08,TQBR,78.75,14241200,1114333513.0
2016-04-11,TQBR,81.85,25964400,2104573211.0
2016-04-12,TQBR,81.92,14485700,1183586487.0
2016-04-13,TQBR,82.45,12056500,990211795.0
2016-04-14,TQBR,81.2,10746700,876158542.0
2016-04-15,TQBR,80.84,10254000,828337307.0
2016-04-18,TQBR,81.07,18838100,1511175993.0
2016-04-19,TQBR,82.8,13954500,1161077201.0
2016-04-20,TQBR,83.88,10336600,856673114.0
2016-04-21,TQBR,82.95,20430400,1708055955.0
2016-04-22,TQBR,84.08,10932900,912434590.0
2016-04-25,TQBR,82.85,7720400,642655029.0
2016-04-26,TQBR,82.37,11304300,925396818.0
2016-04-27,TQBR,83.09,10660200,887121613.0
2016-04-28,TQBR,83.91,10463700,876354559.0
2016-04-29,TQBR,84.0,13425700,1128209268.0
2016-05-04,TQBR,82.08,6393600,524905448.0
2016-05-05,TQBR,82.5,4992300,412560455.0
2016-05-06,TQBR,82.78,6394700,524758314.0
2016-05-10,TQBR,82.25,4972000,407233133.0
2016-05-11,TQBR,84.0,7072000,587887926.0
2016-05-12,TQBR,83.08,6544900,547890006.0
2016-05-13,TQBR,83.1,5576500,460168967.0
2016-05-16,TQBR,83.72,3388700,284419418.0
2016-05-17,TQBR,83.83,6619400,550708124.0
2016-05-18,TQBR,84.05,5054500,423147989.0
2016-05-19,TQBR,82.07,11100700,919300350.0
2016-05-20,TQBR,82.92,8929400,735602790.0
