begin,open,close,high,low,value,volume
2024-05-13 18:00:00,315.40 ,315.01 ,315.51 ,315.01 ,"524,516,300 ","1,663,090 "
2024-05-13 19:00:00,315.01 ,315.06 ,315.25 ,315.00 ,"191,369,409 ","607,340 "
2024-05-13 20:00:00,315.05 ,314.90 ,315.10 ,314.80 ,"174,710,976 ","554,740 "
2024-05-13 21:00:00,314.91 ,314.95 ,314.98 ,314.82 ,"104,440,915 ","331,650 "
2024-05-13 22:00:00,314.91 ,314.99 ,315.00 ,314.70 ,"182,384,082 ","579,180 "
2024-05-13 23:00:00,314.98 ,314.85 ,314.99 ,314.80 ,"98,042,110 ","311,340 "
2024-05-14 09:00:00,315.00 ,315.00 ,315.00 ,315.00 ,"20,727,000 ","65,800 "
2024-05-14 10:00:00,314.98 ,314.68 ,315.58 ,313.58 ,"1,436,852,353 ","4,564,310 "
2024-05-14 11:00:00,314.69 ,314.58 ,314.78 ,314.05 ,"524,588,336 ","1,668,610 "
2024-05-14 12:00:00,314.58 ,314.67 ,314.89 ,314.43 ,"384,838,146 ","1,223,260 "
2024-05-14 13:00:00,314.66 ,314.47 ,314.66 ,314.23 ,"317,923,932 ","1,011,120 "
2024-05-14 14:00:00,314.47 ,315.31 ,315.37 ,314.34 ,"479,858,290 ","1,524,390 "
2024-05-14 15:00:00,315.31 ,316.19 ,316.66 ,315.31 ,"2,123,927,151 ","6,721,570 "
2024-05-14 16:00:00,316.20 ,317.69 ,318.00 ,316.20 ,"2,142,743,539 ","6,755,760 "
2024-05-14 17:00:00,317.68 ,317.33 ,318.24 ,317.28 ,"1,669,354,612 ","5,254,390 "
2024-05-14 18:00:00,317.32 ,318.10 ,318.25 ,317.26 ,"1,014,361,752 ","3,191,090 "
2024-05-14 19:00:00,318.10 ,317.92 ,318.41 ,317.89 ,"426,441,096 ","1,340,380 "
2024-05-14 20:00:00,317.93 ,318.01 ,318.08 ,317.51 ,"230,273,249 ","724,580 "
2024-05-14 21:00:00,318.01 ,318.01 ,318.13 ,317.81 ,"107,277,255 ","337,350 "
2024-05-14 22:00:00,318.01 ,318.10 ,318.18 ,317.85 ,"124,691,627 ","392,130 "
2024-05-14 23:00:00,318.10 ,318.12 ,318.30 ,317.92 ,"150,333,792 ","472,580 "
2024-05-15 09:00:00,318.20 ,318.20 ,318.20 ,318.20 ,"49,594,652 ","155,860 "
2024-05-15 10:00:00,318.20 ,319.80 ,320.00 ,317.70 ,"2,954,661,388 ","9,255,690 "
2024-05-15 11:00:00,319.80 ,319.26 ,319.87 ,319.26 ,"876,573,750 ","2,743,240 "
2024-05-15 12:00:00,319.26 ,319.70 ,320.16 ,319.20 ,"994,806,421 ","3,111,400 "
